epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4260.18,1.18329,0.60876,0.77847,0.75027,0.72513,0.76485,0.52358,0.99017,0.51784,0.78855,0.000660045,0.000660045,0.000660045
43,4360.04,1.20385,0.57821,0.78643,0.83844,0.66865,0.75306,0.5094,0.99046,0.53855,0.79192,0.000649046,0.000649046,0.000649046
44,4463.67,1.19797,0.59136,0.78637,0.75168,0.7073,0.7393,0.5091,0.99796,0.51273,0.7869,0.000638047,0.000638047,0.000638047
45,4563.71,1.17829,0.58587,0.78582,0.75252,0.71373,0.74731,0.52025,1.02095,0.53188,0.78738,0.000627048,0.000627048,0.000627048
46,4663.68,1.18114,0.57546,0.78053,0.76308,0.68354,0.7337,0.51325,0.99137,0.5232,0.78714,0.000616049,0.000616049,0.000616049
47,4763.5,1.18014,0.57197,0.7809,0.87369,0.60223,0.70778,0.48579,0.99759,0.52834,0.78884,0.000605051,0.000605051,0.000605051
48,4866.47,1.14562,0.54744,0.77458,0.82229,0.61907,0.72578,0.50149,0.99516,0.51583,0.78568,0.000594052,0.000594052,0.000594052
49,4965.93,1.18785,0.54741,0.77852,0.75398,0.70159,0.73595,0.49756,1.01306,0.54448,0.7878,0.000583053,0.000583053,0.000583053
50,5065.6,1.14864,0.54055,0.7817,0.68365,0.74227,0.72688,0.49265,0.9976,0.53246,0.78775,0.000572054,0.000572054,0.000572054
51,5165.15,1.15789,0.55634,0.78315,0.73362,0.70322,0.73776,0.51443,0.98869,0.53032,0.78434,0.000561055,0.000561055,0.000561055
52,5264.81,1.1467,0.56004,0.78159,0.65199,0.71746,0.72026,0.50572,0.9802,0.51563,0.78699,0.000550056,0.000550056,0.000550056
53,5364.4,1.15929,0.55096,0.77509,0.72572,0.70389,0.74521,0.51296,1.00212,0.50978,0.79241,0.000539057,0.000539057,0.000539057
54,5464.2,1.1411,0.54571,0.78013,0.81792,0.62588,0.71809,0.49352,0.9956,0.52289,0.79201,0.000528058,0.000528058,0.000528058
55,5563.9,1.15755,0.54148,0.78575,0.75528,0.7008,0.73943,0.49329,1.01119,0.51731,0.79346,0.000517059,0.000517059,0.000517059
56,5663.95,1.17303,0.56314,0.78336,0.79234,0.65522,0.75144,0.52734,0.98386,0.50238,0.7882,0.00050606,0.00050606,0.00050606
57,5763.66,1.14999,0.53146,0.77816,0.73291,0.67701,0.74725,0.51998,0.98201,0.50123,0.78814,0.000495062,0.000495062,0.000495062
58,5863.22,1.11664,0.51744,0.77825,0.71903,0.69553,0.75051,0.52456,0.97338,0.50369,0.78861,0.000484063,0.000484063,0.000484063
59,5964.66,1.12807,0.53751,0.77881,0.74141,0.71191,0.761,0.52347,0.99006,0.49869,0.78932,0.000473064,0.000473064,0.000473064
60,6057.54,1.16036,0.53747,0.77382,0.86759,0.67855,0.79066,0.56312,0.95447,0.47912,0.78399,0.000462065,0.000462065,0.000462065
61,6131.95,1.14071,0.52615,0.77363,0.75082,0.78738,0.80283,0.56925,0.97091,0.47948,0.79035,0.000451066,0.000451066,0.000451066
62,6208.51,1.11341,0.51731,0.77482,0.74634,0.74811,0.77638,0.53776,0.96191,0.50052,0.78426,0.000440067,0.000440067,0.000440067
63,6282.92,1.12877,0.51657,0.77787,0.92034,0.72199,0.82892,0.58109,0.97718,0.47836,0.78873,0.000429068,0.000429068,0.000429068
64,6357.59,1.11417,0.51337,0.77636,0.76169,0.785,0.78095,0.54102,1.01094,0.50851,0.78968,0.000418069,0.000418069,0.000418069
65,6431.85,1.07733,0.49855,0.77662,0.86554,0.76062,0.81917,0.57665,0.9487,0.46843,0.78389,0.00040707,0.00040707,0.00040707
66,6507.31,1.06112,0.49114,0.77645,0.78541,0.68871,0.77654,0.55042,0.95704,0.47964,0.7832,0.000396071,0.000396071,0.000396071
67,6581.66,1.13595,0.51463,0.77304,0.79002,0.77064,0.80756,0.56753,0.93601,0.4699,0.78214,0.000385073,0.000385073,0.000385073
68,6655.76,1.12507,0.50628,0.77921,0.84143,0.70204,0.77235,0.54172,0.94113,0.49118,0.7836,0.000374074,0.000374074,0.000374074
69,6730,1.09986,0.49598,0.77267,0.87202,0.68881,0.75695,0.52386,0.96876,0.49856,0.7846,0.000363075,0.000363075,0.000363075
70,6804.4,1.08128,0.49473,0.77424,0.77741,0.69437,0.75164,0.52434,0.96341,0.48977,0.78227,0.000352076,0.000352076,0.000352076
71,6879.03,1.04289,0.48001,0.77592,0.81696,0.71605,0.78694,0.55282,0.94473,0.49033,0.78301,0.000341077,0.000341077,0.000341077
72,6953.15,1.09088,0.48886,0.76884,0.82296,0.74266,0.81066,0.57764,0.93503,0.46269,0.78293,0.000330078,0.000330078,0.000330078
73,7027.36,1.08267,0.49338,0.76252,0.77274,0.73088,0.77982,0.53941,0.93108,0.47936,0.78196,0.000319079,0.000319079,0.000319079
74,7101.61,1.05132,0.4869,0.77936,0.73405,0.81293,0.82004,0.56948,0.93676,0.47932,0.78339,0.00030808,0.00030808,0.00030808
75,7175.68,1.07289,0.47004,0.77303,0.72999,0.78651,0.80074,0.56557,0.94216,0.46714,0.78339,0.000297081,0.000297081,0.000297081
76,7250.21,1.07247,0.48099,0.76578,0.84433,0.73342,0.81057,0.56146,0.95567,0.47858,0.78558,0.000286083,0.000286083,0.000286083
77,7324.81,1.10587,0.47877,0.76713,0.77949,0.76825,0.81451,0.57089,0.93071,0.46068,0.78273,0.000275084,0.000275084,0.000275084
78,7399.2,1.07949,0.47763,0.77034,0.79418,0.78651,0.82392,0.57731,0.93916,0.4649,0.7831,0.000264085,0.000264085,0.000264085
